hand_side,orientation,index_angle,middle_angle,ring_angle,thumb_index_distance,ball_thumb_distance,ball_index_distance,ball_middle_distance,ball_ring_distance,wrist_angle,wrist_rotation_angle,thumb_angle,index_curl,middle_curl,ring_curl,pinky_curl,index_middle_distance,middle_ring_distance,ring_pinky_distance,ball_index_mcp_distance,ball_middle_mcp_distance,ball_ring_mcp_distance,ball_coverage_ratio,label
RIGHT,BACK,17.33,1.0,21.95,0.0162,0.1057,0.1113,0.2357,0.4042,64.39,-60.32,157.48,17.33,1.0,21.95,49.1,0.2466,0.309,0.2504,0.1798,0.2601,0.5448,0.1735,outswing
RIGHT,BACK,15.58,0.26,22.07,0.0643,0.1608,0.1098,0.2383,0.3967,64.31,-60.35,159.13,15.58,0.26,22.07,48.86,0.2472,0.2912,0.2533,0.166,0.2571,0.5417,0.1741,outswing
RIGHT,BACK,16.07,0.82,23.0,0.0414,0.0946,0.1259,0.2451,0.4237,64.41,-60.49,155.88,16.07,0.82,23.0,47.97,0.261,0.3191,0.2597,0.1827,0.2881,0.5685,0.1855,outswing
RIGHT,BACK,16.9,3.78,26.73,0.0846,0.0928,0.1659,0.2603,0.4189,64.49,-60.57,156.92,16.9,3.78,26.73,50.49,0.2645,0.3336,0.2557,0.1852,0.3044,0.5854,0.2131,outswing
RIGHT,BACK,21.36,7.37,9.13,0.3344,0.1746,0.201,0.2069,0.4721,66.04,-61.59,146.63,21.36,7.37,9.13,36.5,0.2761,0.4488,0.2121,0.204,0.2348,0.5018,0.204,outswing
RIGHT,BACK,20.33,6.02,11.94,0.3089,0.1702,0.1754,0.193,0.4602,65.8,-61.49,146.61,20.33,6.02,11.94,40.57,0.2623,0.4208,0.2134,0.2013,0.2349,0.5029,0.1842,outswing
RIGHT,BACK,18.81,4.47,12.69,0.2893,0.1582,0.1719,0.1856,0.4277,65.41,-61.07,145.22,18.81,4.47,12.69,40.89,0.2462,0.4061,0.2074,0.1961,0.2061,0.4738,0.1787,outswing
RIGHT,BACK,29.04,7.13,16.85,0.3456,0.1683,0.2364,0.2225,0.4188,64.55,-60.1,145.19,29.04,7.13,16.85,46.56,0.2702,0.418,0.2259,0.1969,0.2171,0.4895,0.2295,outswing
RIGHT,BACK,30.17,6.82,16.56,0.3373,0.1729,0.2427,0.2394,0.4121,64.0,-59.62,147.37,30.17,6.82,16.56,51.51,0.2579,0.4197,0.2216,0.1773,0.2066,0.4834,0.241,outswing
RIGHT,BACK,22.32,3.09,19.4,0.2904,0.1514,0.1734,0.1954,0.3947,63.73,-59.45,146.6,22.32,3.09,19.4,53.59,0.2415,0.3742,0.2234,0.1944,0.2145,0.4855,0.1844,outswing
RIGHT,BACK,31.48,4.9,23.5,0.3069,0.0742,0.2534,0.2286,0.4013,65.63,-61.55,149.0,31.48,4.9,23.5,45.29,0.2578,0.4296,0.2487,0.2341,0.2859,0.5514,0.241,outswing
RIGHT,BACK,66.13,18.5,33.78,0.4057,0.0958,0.3405,0.2511,0.3603,65.23,-61.4,149.36,66.13,18.5,33.78,57.09,0.2756,0.4209,0.2663,0.22,0.2965,0.5659,0.2958,outswing
RIGHT,BACK,15.34,0.66,12.11,0.1557,0.243,0.098,0.1743,0.4117,78.26,-73.67,161.35,15.34,0.66,12.11,24.15,0.2191,0.2978,0.2647,0.2843,0.3702,0.6034,0.1361,outswing
RIGHT,BACK,13.05,0.0,12.35,0.1355,0.2123,0.0875,0.2017,0.4352,77.35,-72.93,159.85,13.05,0.0,12.35,24.73,0.2224,0.292,0.2543,0.2421,0.3598,0.6064,0.1446,outswing
RIGHT,BACK,12.1,0.05,11.6,0.172,0.2315,0.0616,0.1809,0.422,77.32,-72.78,159.47,12.1,0.05,11.6,23.4,0.2165,0.2772,0.2537,0.2587,0.3606,0.6015,0.1213,outswing
RIGHT,BACK,12.27,0.08,12.3,0.1532,0.2109,0.0589,0.1845,0.4208,77.53,-73.03,158.51,12.27,0.08,12.3,25.68,0.2148,0.2796,0.2521,0.2468,0.3494,0.5955,0.1217,outswing
RIGHT,BACK,10.26,3.47,17.32,0.1509,0.2272,0.0818,0.1345,0.361,76.47,-72.14,157.9,10.26,3.47,17.32,29.75,0.2053,0.2633,0.265,0.2601,0.3325,0.573,0.1082,outswing
RIGHT,BACK,5.72,10.35,25.51,0.1974,0.2697,0.0902,0.106,0.3249,74.58,-70.78,158.71,5.72,10.35,25.51,35.99,0.1936,0.244,0.2569,0.2683,0.3527,0.5936,0.0981,outswing
RIGHT,BACK,1.63,23.84,39.53,0.2181,0.32,0.1027,0.1825,0.3537,71.81,-68.44,160.49,1.63,23.84,39.53,44.14,0.2004,0.3035,0.2835,0.2498,0.4299,0.697,0.1426,outswing
RIGHT,BACK,2.53,50.07,42.74,0.1341,0.3172,0.1852,0.248,0.3513,68.83,-65.21,159.32,2.53,50.07,42.74,46.26,0.2324,0.4354,0.3145,0.263,0.4145,0.6922,0.2166,outswing
RIGHT,BACK,14.41,52.72,48.75,0.1112,0.3636,0.3088,0.2385,0.3036,65.87,-62.4,159.88,14.41,52.72,48.75,55.79,0.249,0.4212,0.29,0.2622,0.3795,0.6553,0.2736,outswing
RIGHT,BACK,30.93,53.76,53.81,0.1144,0.3293,0.3364,0.2809,0.347,65.08,-61.61,158.93,30.93,53.76,53.81,61.32,0.2655,0.385,0.2894,0.2124,0.4212,0.7147,0.3086,outswing
RIGHT,BACK,0.13,14.54,32.63,0.1534,0.2989,0.1482,0.2584,0.4745,69.56,-65.23,159.68,0.13,14.54,32.63,41.94,0.2719,0.3056,0.2851,0.2258,0.4867,0.8013,0.2033,outswing
RIGHT,BACK,7.28,7.5,25.41,0.1115,0.2189,0.1094,0.2471,0.4595,73.19,-69.13,159.12,7.28,7.5,25.41,38.46,0.2518,0.3096,0.2721,0.2255,0.4313,0.7278,0.1783,outswing
RIGHT,BACK,9.85,1.01,17.49,0.1322,0.1865,0.0568,0.23,0.4559,74.51,-70.3,160.09,9.85,1.01,17.49,32.86,0.2547,0.3034,0.2712,0.2371,0.3926,0.6775,0.1434,outswing
RIGHT,BACK,10.34,1.37,16.19,0.1095,0.1733,0.0651,0.2669,0.4677,74.76,-70.34,157.19,10.34,1.37,16.19,31.97,0.259,0.3358,0.2592,0.2125,0.3793,0.6683,0.166,outswing
RIGHT,BACK,12.29,0.69,19.44,0.0708,0.1129,0.0522,0.2498,0.4447,75.4,-71.04,155.66,12.29,0.69,19.44,34.51,0.2417,0.3389,0.2649,0.2328,0.3768,0.6553,0.151,outswing
RIGHT,BACK,12.64,5.71,17.4,0.1332,0.1566,0.024,0.2483,0.434,76.07,-71.96,163.96,12.64,5.71,17.4,32.07,0.2641,0.3283,0.2578,0.2603,0.3749,0.6385,0.1361,outswing
RIGHT,BACK,10.57,0.68,16.46,0.1167,0.1441,0.0367,0.2477,0.4634,76.57,-72.58,163.84,10.57,0.68,16.46,30.8,0.245,0.3128,0.2629,0.2353,0.3785,0.6481,0.1422,outswing
RIGHT,BACK,9.12,0.03,15.48,0.0939,0.1313,0.0378,0.2284,0.4814,76.83,-72.77,161.83,9.12,0.03,15.48,29.49,0.2504,0.3062,0.2452,0.2393,0.3703,0.6346,0.1331,outswing
RIGHT,BACK,8.08,0.26,16.18,0.0858,0.136,0.0508,0.2359,0.5122,76.98,-72.95,160.77,8.08,0.26,16.18,29.18,0.2651,0.3521,0.2439,0.2521,0.3883,0.653,0.1434,outswing
RIGHT,BACK,8.56,2.74,12.93,0.0918,0.1305,0.0458,0.2274,0.5268,77.23,-73.07,159.64,8.56,2.74,12.93,26.63,0.2703,0.3896,0.2345,0.2546,0.3664,0.6262,0.1366,outswing
RIGHT,BACK,6.87,1.25,13.17,0.105,0.1523,0.0495,0.235,0.5422,77.25,-73.26,161.35,6.87,1.25,13.17,29.25,0.2773,0.4059,0.2377,0.2496,0.3708,0.6313,0.1422,outswing
RIGHT,BACK,10.08,3.63,11.43,0.0985,0.1305,0.041,0.2273,0.5234,78.02,-73.97,159.28,10.08,3.63,11.43,28.67,0.2668,0.3854,0.2466,0.2557,0.3587,0.616,0.1341,outswing
RIGHT,BACK,12.5,5.2,15.07,0.1912,0.1972,0.007,0.2695,0.519,78.16,-74.41,161.54,12.5,5.2,15.07,29.83,0.2701,0.4211,0.2561,0.2635,0.387,0.643,0.1383,outswing
RIGHT,BACK,21.84,2.17,19.03,0.0945,0.1815,0.1626,0.3007,0.5196,78.57,-74.52,164.35,21.84,2.17,19.03,29.61,0.2758,0.4589,0.2772,0.2735,0.4188,0.6904,0.2317,outswing
RIGHT,BACK,31.28,0.6,16.67,0.1052,0.2162,0.1808,0.2311,0.5348,79.19,-74.83,166.0,31.28,0.6,16.67,26.39,0.2875,0.4558,0.2813,0.3694,0.4736,0.7308,0.206,outswing
RIGHT,BACK,167.59,101.27,67.27,0.1471,0.2132,0.2945,0.2807,0.449,67.9,-63.65,157.56,167.59,101.27,67.27,67.42,0.2721,0.4696,0.3954,0.5517,0.7538,1.0386,0.2876,outswing
RIGHT,BACK,166.1,126.93,77.69,0.2375,0.283,0.4582,0.3857,0.4365,64.47,-60.41,164.76,166.1,126.93,77.69,85.38,0.3257,0.5866,0.4028,0.5724,0.8249,1.1334,0.422,outswing
RIGHT,BACK,75.03,91.69,91.84,0.193,0.1597,0.2694,0.3266,0.4837,52.35,-53.38,174.28,75.03,91.69,91.84,94.32,0.19,0.2791,0.2436,0.5238,0.8274,1.028,0.298,outswing
RIGHT,BACK,59.64,76.37,80.53,0.1758,0.1861,0.1357,0.2324,0.429,53.71,-54.94,170.01,59.64,76.37,80.53,80.76,0.2025,0.2727,0.2685,0.4072,0.7151,0.9285,0.184,outswing
RIGHT,BACK,64.68,81.83,84.39,0.1755,0.1877,0.162,0.2288,0.4216,53.33,-54.46,171.03,64.68,81.83,84.39,84.58,0.1991,0.2876,0.2794,0.4135,0.7214,0.9366,0.1954,outswing
RIGHT,BACK,131.76,97.46,70.27,0.2523,0.2945,0.5462,0.5861,0.7432,51.73,-48.51,165.76,131.76,97.46,70.27,84.75,0.3306,0.6111,0.3264,0.4554,0.8267,1.1532,0.5662,outswing
RIGHT,BACK,10.72,29.2,46.5,0.219,0.1974,0.2231,0.346,0.5549,61.91,-60.09,165.85,10.72,29.2,46.5,62.78,0.2152,0.3656,0.2363,0.1731,0.4559,0.6977,0.2846,outswing
RIGHT,BACK,9.44,29.69,48.77,0.2005,0.1843,0.2401,0.3761,0.5845,61.99,-60.22,171.18,9.44,29.69,48.77,66.41,0.2067,0.3648,0.2293,0.2114,0.49,0.7274,0.3081,outswing
RIGHT,BACK,12.12,33.92,51.41,0.1994,0.168,0.2188,0.3696,0.5861,62.19,-60.51,173.22,12.12,33.92,51.41,68.25,0.1974,0.3606,0.2322,0.2301,0.5085,0.7464,0.2942,outswing
RIGHT,BACK,169.09,169.91,38.12,0.4196,0.0463,0.4629,0.3834,0.2539,72.52,-67.5,163.79,169.09,169.91,38.12,84.59,0.255,0.4555,0.2127,0.3011,0.2996,0.5171,0.4232,outswing
RIGHT,BACK,162.82,141.72,31.73,0.4235,0.0843,0.4691,0.364,0.276,72.23,-67.2,163.93,162.82,141.72,31.73,84.0,0.2591,0.3961,0.2236,0.2821,0.2923,0.5178,0.4166,outswing
RIGHT,BACK,159.75,72.74,29.7,0.4009,0.0993,0.4633,0.335,0.2774,72.19,-67.17,165.13,159.75,72.74,29.7,82.12,0.2613,0.3763,0.2263,0.2828,0.2975,0.5251,0.3991,outswing
RIGHT,BACK,124.81,5.92,25.46,0.3141,0.2582,0.3928,0.3547,0.418,72.51,-67.47,165.69,124.81,5.92,25.46,63.49,0.237,0.4125,0.2164,0.2108,0.3628,0.6304,0.3737,outswing
RIGHT,BACK,166.5,159.66,28.28,0.4212,0.1903,0.4569,0.3723,0.3436,73.44,-68.48,165.23,166.5,159.66,28.28,62.4,0.25,0.5477,0.2353,0.2302,0.2954,0.5447,0.4146,outswing
RIGHT,BACK,29.42,7.43,25.45,0.2669,0.1316,0.2982,0.2374,0.3235,73.4,-68.8,162.35,29.42,7.43,25.45,57.92,0.217,0.4126,0.2332,0.2727,0.3134,0.5486,0.2678,outswing
RIGHT,BACK,20.83,10.45,26.09,0.2665,0.1385,0.2779,0.2121,0.3089,73.39,-69.07,160.19,20.83,10.45,26.09,58.77,0.2019,0.3784,0.2185,0.2498,0.2949,0.5294,0.245,outswing
RIGHT,BACK,92.69,14.91,27.97,0.3172,0.1297,0.3267,0.2583,0.3405,73.64,-69.29,161.48,92.69,14.91,27.97,60.88,0.2148,0.4313,0.2401,0.254,0.3224,0.5596,0.2925,outswing
RIGHT,BACK,145.15,22.79,31.92,0.3417,0.1557,0.4149,0.2986,0.2917,74.02,-69.43,163.74,145.15,22.79,31.92,68.75,0.2201,0.4107,0.2361,0.2422,0.2969,0.5357,0.3567,outswing
RIGHT,BACK,166.86,23.77,38.03,0.3878,0.2539,0.4622,0.3525,0.3306,75.68,-70.76,168.61,166.86,23.77,38.03,75.27,0.2492,0.3855,0.2625,0.2032,0.3165,0.5711,0.4073,outswing
RIGHT,BACK,138.12,102.94,9.56,0.3717,0.1557,0.4038,0.3588,0.3612,77.52,-72.74,163.88,138.12,102.94,9.56,46.99,0.2138,0.4495,0.2386,0.2447,0.2861,0.5113,0.3813,outswing
RIGHT,BACK,143.7,73.69,4.87,0.379,0.0899,0.3608,0.2796,0.3308,79.48,-74.87,161.2,143.7,73.69,4.87,51.83,0.2412,0.365,0.2168,0.332,0.3448,0.5343,0.3202,outswing
RIGHT,BACK,147.49,109.41,6.12,0.3905,0.1292,0.3924,0.3023,0.3563,80.44,-75.75,163.53,147.49,109.41,6.12,39.57,0.2506,0.4489,0.2375,0.3583,0.3683,0.5587,0.3474,outswing
RIGHT,BACK,151.81,156.25,43.44,0.4297,0.132,0.3975,0.3253,0.3021,81.98,-77.05,167.17,151.81,156.25,43.44,70.2,0.2348,0.4113,0.2974,0.4249,0.4375,0.6171,0.3614,outswing
RIGHT,BACK,161.5,176.24,80.57,0.4515,0.0544,0.4624,0.3673,0.2456,81.14,-75.59,168.07,161.5,176.24,80.57,115.79,0.26,0.4387,0.2118,0.5097,0.5272,0.7071,0.4148,outswing
RIGHT,BACK,165.4,178.3,58.19,0.4647,0.0868,0.4816,0.3902,0.2809,80.29,-74.61,171.09,165.4,178.3,58.19,84.51,0.2582,0.5382,0.2797,0.507,0.5449,0.7381,0.4359,outswing
RIGHT,BACK,163.98,176.51,56.53,0.5052,0.0345,0.5361,0.391,0.2123,79.26,-74.07,170.57,163.98,176.51,56.53,77.91,0.2615,0.5703,0.3081,0.5254,0.4978,0.6575,0.4635,outswing
RIGHT,BACK,172.76,161.53,76.04,0.4115,0.1236,0.534,0.4503,0.2664,74.74,-69.74,175.65,172.76,161.53,76.04,92.64,0.2338,0.5958,0.3454,0.4299,0.5247,0.7553,0.4921,outswing
RIGHT,BACK,173.26,175.23,20.23,0.5057,0.1776,0.5188,0.4371,0.5912,78.96,-72.82,177.88,173.26,175.23,20.23,34.22,0.2806,0.9597,0.3255,0.4616,0.5346,0.727,0.4779,outswing
RIGHT,BACK,16.58,1.67,21.68,0.0718,0.0688,0.0976,0.1758,0.3247,81.91,-77.47,155.97,16.58,1.67,21.68,47.68,0.1732,0.2402,0.1933,0.2794,0.3527,0.5598,0.1367,outswing
RIGHT,BACK,18.82,27.87,19.41,0.1211,0.1184,0.2374,0.2713,0.3677,75.26,-70.46,155.43,18.82,27.87,19.41,33.05,0.1682,0.5005,0.2578,0.2455,0.2882,0.5389,0.2543,outswing
RIGHT,BACK,18.27,42.31,28.53,0.1711,0.1278,0.2548,0.2226,0.2857,75.1,-70.73,159.52,18.27,42.31,28.53,41.13,0.1694,0.4419,0.2439,0.2911,0.2911,0.5034,0.2387,outswing
RIGHT,BACK,173.41,117.92,43.52,0.2933,0.1512,0.4029,0.3161,0.2849,73.87,-69.59,161.05,173.41,117.92,43.52,54.58,0.1906,0.5125,0.2518,0.2648,0.323,0.5568,0.3595,outswing
RIGHT,BACK,179.39,78.66,34.64,0.508,0.1497,0.3803,0.2677,0.2553,72.53,-68.63,152.04,179.39,78.66,34.64,62.2,0.2091,0.4414,0.2553,0.2958,0.3019,0.4932,0.324,outswing
RIGHT,BACK,172.07,166.99,30.81,0.656,0.18,0.5046,0.3789,0.289,72.36,-68.07,157.03,172.07,166.99,30.81,62.05,0.2189,0.5889,0.2366,0.3227,0.322,0.5019,0.4418,outswing
RIGHT,BACK,165.54,168.47,14.56,0.6543,0.1863,0.4792,0.3385,0.3402,70.24,-65.63,160.09,165.54,168.47,14.56,51.01,0.2559,0.5973,0.2589,0.3746,0.3337,0.4916,0.4089,outswing
RIGHT,BACK,163.47,160.23,14.61,0.6663,0.1848,0.4859,0.3324,0.3616,68.55,-63.95,158.8,163.47,160.23,14.61,53.81,0.283,0.601,0.2638,0.365,0.3241,0.4931,0.4091,outswing
RIGHT,BACK,164.54,171.75,19.41,0.7102,0.1736,0.5391,0.371,0.3258,67.14,-62.49,158.43,164.54,171.75,19.41,59.03,0.2887,0.6109,0.2925,0.3566,0.3063,0.4804,0.455,outswing
RIGHT,BACK,170.69,176.76,28.11,0.7284,0.1795,0.5526,0.3817,0.3256,66.06,-61.36,162.1,170.69,176.76,28.11,68.11,0.2977,0.6173,0.3208,0.3499,0.3206,0.5084,0.4672,outswing
RIGHT,BACK,173.72,172.39,35.52,0.7217,0.1801,0.5434,0.379,0.31,65.35,-60.6,163.87,173.72,172.39,35.52,72.43,0.3048,0.5872,0.344,0.3514,0.3335,0.5286,0.4612,outswing
RIGHT,BACK,170.93,171.39,35.86,0.732,0.2397,0.4952,0.316,0.3322,64.44,-59.79,158.82,170.93,171.39,35.86,73.58,0.2997,0.5923,0.3227,0.4012,0.3682,0.5446,0.4056,outswing
RIGHT,BACK,169.28,171.86,33.83,0.7122,0.2144,0.4995,0.3395,0.3488,63.33,-58.7,159.48,169.28,171.86,33.83,74.71,0.2944,0.6298,0.3003,0.3855,0.3517,0.537,0.4195,outswing
RIGHT,BACK,169.06,171.99,37.22,0.7006,0.2077,0.4978,0.3408,0.338,62.57,-57.97,162.01,169.06,171.99,37.22,78.82,0.2947,0.6299,0.3185,0.4003,0.3571,0.5408,0.4193,outswing
RIGHT,BACK,168.03,170.83,43.93,0.6885,0.1953,0.4933,0.3611,0.3019,62.27,-57.74,162.85,168.03,170.83,43.93,85.13,0.2918,0.5849,0.3419,0.3715,0.3417,0.5438,0.4272,outswing
RIGHT,BACK,169.89,165.01,47.23,0.6836,0.1794,0.506,0.3934,0.2802,62.5,-58.07,163.34,169.89,165.01,47.23,84.5,0.2796,0.5529,0.3606,0.3364,0.3297,0.5447,0.4497,outswing
RIGHT,BACK,174.24,164.55,39.5,0.6709,0.175,0.5214,0.4012,0.3316,63.46,-58.73,165.46,174.24,164.55,39.5,78.53,0.3042,0.5576,0.3152,0.2957,0.3276,0.5604,0.4613,outswing
RIGHT,BACK,171.65,156.72,39.06,0.6004,0.1281,0.4874,0.3521,0.3065,64.17,-59.37,166.75,171.65,156.72,39.06,76.42,0.296,0.51,0.2933,0.3124,0.3241,0.5499,0.4198,outswing
RIGHT,BACK,173.74,166.62,119.23,0.641,0.1228,0.5772,0.4633,0.2325,66.88,-61.75,168.35,173.74,166.62,119.23,130.34,0.2267,0.4036,0.3155,0.3612,0.4017,0.627,0.5203,outswing
RIGHT,BACK,175.93,168.72,95.94,0.701,0.1663,0.6323,0.5669,0.2631,69.12,-64.04,163.43,175.93,168.72,95.94,112.43,0.2373,0.5589,0.3079,0.2983,0.368,0.614,0.5996,outswing
RIGHT,BACK,174.95,168.72,46.94,0.6964,0.1443,0.6137,0.5322,0.3412,70.69,-65.57,161.5,174.95,168.72,46.94,72.05,0.2512,0.7316,0.2593,0.3264,0.3818,0.6147,0.5729,outswing
RIGHT,BACK,168.68,172.98,41.27,0.5916,0.1038,0.5611,0.4744,0.318,74.35,-69.52,159.06,168.68,172.98,41.27,75.89,0.2331,0.5619,0.2258,0.3168,0.3564,0.5744,0.5177,outswing
RIGHT,BACK,169.14,175.53,38.02,0.6221,0.0932,0.6003,0.4735,0.319,75.1,-70.09,158.24,169.14,175.53,38.02,74.78,0.2587,0.5467,0.2262,0.3394,0.3624,0.5698,0.5369,outswing
RIGHT,BACK,152.88,155.73,0.12,0.5332,0.1779,0.4242,0.2711,0.3979,75.84,-70.78,161.46,152.88,155.73,0.12,26.41,0.2291,0.6622,0.2448,0.5908,0.4978,0.5704,0.3476,outswing
RIGHT,BACK,152.83,159.69,4.31,0.5444,0.1294,0.461,0.4168,0.3863,75.16,-70.05,162.7,152.83,159.69,4.31,36.05,0.2243,0.6619,0.2532,0.4138,0.3804,0.5362,0.4389,outswing
RIGHT,BACK,151.75,157.12,0.12,0.5456,0.1337,0.4693,0.4046,0.4113,75.21,-70.11,161.93,151.75,157.12,0.12,30.81,0.2372,0.6659,0.2338,0.3937,0.364,0.5272,0.4369,outswing
RIGHT,BACK,152.87,163.51,3.18,0.5266,0.1376,0.4661,0.4117,0.3923,74.9,-69.9,161.14,152.87,163.51,3.18,34.27,0.2173,0.6445,0.2362,0.3746,0.3521,0.5239,0.4389,outswing
RIGHT,BACK,93.08,16.0,25.78,0.2441,0.299,0.3844,0.2876,0.5788,70.69,-66.28,133.58,93.08,16.0,25.78,40.06,0.6389,0.3037,0.2828,0.2302,0.4348,0.7073,0.336,off_spin_grip
RIGHT,BACK,83.92,14.18,24.38,0.2405,0.2712,0.3426,0.322,0.6182,71.39,-66.78,132.01,83.92,14.18,24.38,40.88,0.6349,0.3069,0.2832,0.2611,0.4644,0.7405,0.3323,off_spin_grip
RIGHT,BACK,75.65,13.32,23.15,0.2425,0.284,0.327,0.3182,0.614,71.91,-67.3,132.28,75.65,13.32,23.15,40.9,0.6203,0.3044,0.2783,0.2666,0.4586,0.732,0.3226,off_spin_grip
RIGHT,BACK,89.39,15.98,23.94,0.2657,0.3019,0.3573,0.3106,0.614,70.97,-66.49,132.78,89.39,15.98,23.94,33.92,0.6439,0.3083,0.2842,0.2642,0.4667,0.7401,0.334,off_spin_grip
RIGHT,BACK,83.62,52.45,57.22,0.1547,0.1923,0.2668,0.2614,0.5156,65.7,-62.91,141.79,83.62,52.45,57.22,62.19,0.4811,0.257,0.2094,0.3077,0.5637,0.7865,0.2641,off_spin_grip
RIGHT,BACK,74.85,48.46,54.03,0.1077,0.1764,0.2641,0.29,0.5453,66.7,-63.84,136.12,74.85,48.46,54.03,58.87,0.4672,0.2626,0.2183,0.3044,0.5666,0.7926,0.2771,off_spin_grip
RIGHT,BACK,62.9,46.39,53.81,0.0761,0.1997,0.2371,0.3016,0.5636,66.61,-63.7,135.19,62.9,46.39,53.81,59.35,0.4449,0.2723,0.223,0.2951,0.564,0.7942,0.2694,off_spin_grip
RIGHT,BACK,52.51,43.46,53.01,0.0832,0.2397,0.1891,0.2335,0.5137,66.91,-63.94,133.74,52.51,43.46,53.01,60.1,0.4218,0.2802,0.2245,0.2014,0.4612,0.705,0.2113,off_spin_grip
RIGHT,BACK,54.03,46.16,55.76,0.1435,0.2872,0.2014,0.223,0.5082,66.91,-64.14,139.94,54.03,46.16,55.76,62.95,0.4242,0.2854,0.2215,0.2006,0.4599,0.7019,0.2122,off_spin_grip
RIGHT,BACK,70.52,45.33,55.64,0.1712,0.2799,0.2658,0.2242,0.5052,66.88,-64.32,141.28,70.52,45.33,55.64,63.12,0.4789,0.2822,0.2172,0.2181,0.4826,0.7225,0.245,off_spin_grip
RIGHT,BACK,59.19,39.48,51.37,0.1441,0.2313,0.2187,0.254,0.5254,68.44,-65.58,137.67,59.19,39.48,51.37,63.03,0.4507,0.2747,0.224,0.2149,0.4826,0.7311,0.2364,off_spin_grip
RIGHT,BACK,90.74,58.31,63.19,0.2567,0.3392,0.3031,0.224,0.4548,66.97,-65.3,166.53,90.74,58.31,63.19,70.88,0.5081,0.2313,0.1886,0.3242,0.5654,0.7644,0.2635,off_spin_grip
RIGHT,BACK,94.02,61.57,65.39,0.2569,0.3529,0.3087,0.2183,0.4426,66.47,-65.02,168.22,94.02,61.57,65.39,71.14,0.5136,0.2245,0.1826,0.3392,0.5706,0.7588,0.2635,off_spin_grip
RIGHT,BACK,108.68,98.0,96.44,0.2763,0.3254,0.3096,0.1102,0.3426,72.54,-72.81,177.23,108.68,98.0,96.44,97.52,0.4197,0.2363,0.1507,0.3821,0.5744,0.7128,0.2099,off_spin_grip
RIGHT,BACK,106.77,90.79,90.08,0.2735,0.3257,0.2945,0.2127,0.4234,72.9,-72.89,177.73,106.77,90.79,90.08,89.63,0.5071,0.2177,0.1399,0.374,0.5761,0.7254,0.2536,off_spin_grip
RIGHT,BACK,107.27,88.85,88.45,0.2704,0.3335,0.2989,0.2318,0.438,72.8,-72.66,177.67,107.27,88.85,88.45,87.75,0.5306,0.2147,0.1378,0.3645,0.5687,0.7216,0.2653,off_spin_grip
RIGHT,BACK,107.28,88.7,88.51,0.2779,0.351,0.3147,0.2095,0.4197,72.68,-72.46,176.97,107.28,88.7,88.51,88.45,0.5236,0.2199,0.1394,0.3468,0.5516,0.7058,0.2621,off_spin_grip
RIGHT,BACK,104.11,87.46,87.24,0.2696,0.3211,0.2925,0.2246,0.4344,73.1,-72.81,174.83,104.11,87.46,87.24,86.26,0.517,0.2161,0.1388,0.3649,0.5717,0.7278,0.2585,off_spin_grip
RIGHT,BACK,101.23,87.24,86.86,0.2644,0.3242,0.302,0.2336,0.4378,73.45,-73.03,173.55,101.23,87.24,86.86,84.46,0.5356,0.2124,0.1448,0.3385,0.5455,0.7026,0.2678,off_spin_grip
RIGHT,BACK,94.74,96.06,90.65,0.2367,0.3792,0.2702,0.1193,0.3618,73.73,-73.13,176.44,94.74,96.06,90.65,89.47,0.3495,0.2757,0.1634,0.2721,0.4762,0.6449,0.1947,off_spin_grip
RIGHT,BACK,94.88,99.75,95.87,0.2262,0.3438,0.2608,0.0628,0.3391,73.32,-72.93,178.11,94.88,99.75,95.87,95.2,0.3168,0.2845,0.1649,0.3218,0.524,0.6834,0.1618,off_spin_grip
RIGHT,BACK,102.56,95.17,96.11,0.263,0.2829,0.2694,0.1071,0.338,75.45,-75.62,178.36,102.56,95.17,96.11,98.91,0.3631,0.2328,0.1506,0.446,0.6301,0.7581,0.1883,off_spin_grip
RIGHT,BACK,99.56,89.99,90.21,0.2616,0.3124,0.2812,0.1065,0.3332,75.85,-76.15,179.89,99.56,89.99,90.21,92.28,0.3847,0.2267,0.1448,0.402,0.586,0.7134,0.1939,off_spin_grip
RIGHT,BACK,98.75,89.53,91.39,0.2656,0.2583,0.2615,0.1884,0.3901,76.31,-76.52,178.53,98.75,89.53,91.39,91.52,0.4346,0.2018,0.1455,0.4355,0.6221,0.7508,0.2249,off_spin_grip
RIGHT,BACK,96.79,87.71,89.16,0.244,0.2744,0.258,0.2011,0.3915,77.04,-77.1,177.19,96.79,87.71,89.16,87.75,0.4554,0.1918,0.1406,0.3993,0.5861,0.7161,0.2295,off_spin_grip
RIGHT,BACK,96.11,86.93,88.61,0.2383,0.2748,0.2568,0.207,0.3954,77.8,-77.85,175.92,96.11,86.93,88.61,86.54,0.4616,0.1904,0.1427,0.3893,0.5755,0.7047,0.2319,off_spin_grip
RIGHT,BACK,94.03,86.21,87.85,0.2408,0.2773,0.2524,0.2117,0.4016,78.06,-78.03,174.77,94.03,86.21,87.85,84.32,0.461,0.1917,0.1461,0.3841,0.5706,0.701,0.2321,off_spin_grip
RIGHT,BACK,93.6,86.02,86.86,0.2559,0.2817,0.2444,0.233,0.4265,78.58,-78.44,172.91,93.6,86.02,86.86,83.38,0.4727,0.1954,0.1527,0.3859,0.5735,0.7074,0.2387,off_spin_grip
